date,open,high,low,close,adj close,volume
2017-01-19,2.700000047683716,2.799999952316284,2.630000114440918,2.75,2.75,187800
2017-01-20,2.799999952316284,2.799999952316284,2.5999999046325684,2.700000047683716,2.700000047683716,127300
2017-01-23,2.75,2.75,2.5,2.549999952316284,2.549999952316284,205500
2017-01-24,2.5999999046325684,2.5999999046325684,2.3499999046325684,2.549999952316284,2.549999952316284,261000
2017-01-25,2.549999952316284,2.650000095367432,2.5,2.5999999046325684,2.5999999046325684,62800
2017-01-26,2.650000095367432,2.650000095367432,2.549999952316284,2.5999999046325684,2.5999999046325684,56800
2017-01-27,2.5999999046325684,2.5999999046325684,2.549999952316284,2.549999952316284,2.549999952316284,93200
2017-01-30,2.5999999046325684,2.650000095367432,2.5,2.5999999046325684,2.5999999046325684,76900
2017-01-31,3.0,3.4500000476837163,2.8499999046325684,3.150000095367432,3.150000095367432,3069400
2017-02-01,3.0499999523162837,3.2000000476837163,2.9500000476837163,3.0999999046325684,3.0999999046325684,450100
2017-02-02,3.150000095367432,3.150000095367432,3.0,3.0499999523162837,3.0499999523162837,94600
2017-02-03,3.0999999046325684,3.0999999046325684,2.9500000476837163,2.9500000476837163,2.9500000476837163,138200
2017-02-06,2.900000095367432,2.9600000381469727,2.75,2.8499999046325684,2.8499999046325684,279400
2017-02-07,2.8499999046325684,2.900000095367432,2.799999952316284,2.8499999046325684,2.8499999046325684,107400
2017-02-08,2.8499999046325684,2.900000095367432,2.75,2.799999952316284,2.799999952316284,111800
2017-02-09,2.799999952316284,2.9500000476837163,2.75,2.9500000476837163,2.9500000476837163,95700
2017-02-10,3.0,3.0999999046325684,2.900000095367432,3.0499999523162837,3.0499999523162837,191000
2017-02-13,3.400000095367432,3.400000095367432,3.2000000476837163,3.2999999523162837,3.2999999523162837,603000
2017-02-14,3.400000095367432,3.440000057220459,3.25,3.2999999523162837,3.2999999523162837,272900
2017-02-15,3.400000095367432,3.400000095367432,3.25,3.3499999046325684,3.3499999046325684,298200
2017-02-16,3.3499999046325684,3.4300000667572017,3.2999999523162837,3.3499999046325684,3.3499999046325684,183100
2017-02-17,3.4500000476837163,3.4500000476837163,3.2999999523162837,3.3499999046325684,3.3499999046325684,113500
2017-02-21,3.3499999046325684,3.3499999046325684,3.0999999046325684,3.150000095367432,3.150000095367432,276700
2017-02-22,3.2000000476837163,3.25,3.0499999523162837,3.0999999046325684,3.0999999046325684,211200
2017-02-23,3.0499999523162837,3.1800000667572017,3.0499999523162837,3.150000095367432,3.150000095367432,92900
2017-02-24,3.0999999046325684,3.0999999046325684,3.0,3.0,3.0,120600
